transaction_amount,transaction_hour,account_age_days,new_device,location_mismatch,failed_attempts,transactions_last_10min,transactions_last_24h,previous_avg_amount,international_transaction,is_fraud
13380.78,7,224,0,1,4,1,10,1617.96,1,1
2134.2,12,1147,0,0,0,1,1,2111.87,1,0
1472.08,21,1240,1,1,0,0,1,2132.82,0,0
7370.79,2,154,1,1,3,5,8,2372.89,1,1
9257.36,9,59,1,1,5,2,8,1541.18,0,1
15596.21,3,159,0,1,3,0,11,1113.19,1,1
2329.27,18,888,0,0,0,1,0,1739.97,0,0
6434.92,4,110,1,1,1,3,12,1963.84,1,1
3083.43,10,966,0,0,0,0,5,1143.89,0,0
8556.47,13,230,0,0,1,5,10,1269.6,1,1
4553.91,4,3,1,1,5,2,5,1944.86,1,1
6620.1,5,134,1,1,5,2,12,1250.77,0,1
16709.8,19,100,1,1,5,4,7,2158.03,1,1
2670.78,15,1202,0,0,0,0,0,901.28,0,0
10703.08,1,229,1,0,4,3,5,2038.5,1,1
2106.79,8,98,0,0,2,1,2,1622.03,0,0
9817.26,3,116,1,1,2,5,6,2442.59,1,1
4466.28,9,76,1,1,5,6,16,1272.48,1,1
4496.49,4,248,1,1,4,1,7,1645.06,0,1
2938.76,8,947,0,0,0,0,3,2687.96,0,0
3918.03,2,184,1,1,3,1,5,1485.62,1,1
4590.32,18,214,1,1,5,1,9,2930.12,1,1
3245.18,2,181,1,1,5,4,8,3144.71,1,1
775.76,11,204,0,0,0,0,3,4016.9,0,0
7199.65,4,146,0,1,2,4,6,2057.96,1,1
1335.26,9,718,0,0,0,0,4,2136.0,0,0
862.23,14,955,0,0,0,0,3,1591.82,0,0
2259.29,3,73,1,1,3,6,8,2221.16,1,1
3517.56,15,44,1,0,2,5,9,2356.01,1,1
2033.38,9,1254,0,0,0,0,6,1216.11,0,0
2513.49,16,1417,1,0,0,0,2,2009.57,0,0
1486.26,22,1036,0,0,1,0,2,1583.47,0,0
8833.43,3,144,1,1,2,2,9,2504.52,1,1
6658.11,5,173,1,1,3,1,10,1509.48,1,1
6238.67,2,206,1,1,3,1,7,1415.41,1,1
3975.94,5,41,1,1,5,1,4,1574.69,1,1
2848.4,20,1494,0,0,0,0,3,1601.61,0,0
1251.36,10,710,0,0,0,2,4,1575.42,0,0
2323.56,16,410,0,0,0,0,3,1590.74,0,0
5622.19,4,230,1,1,5,4,6,1226.1,1,1
1682.47,13,877,1,0,0,1,3,1187.76,0,0
10854.03,20,206,1,1,5,4,9,2094.05,0,1
14589.06,7,37,1,1,4,2,8,2519.85,1,1
5679.0,21,226,0,1,3,2,12,2282.89,1,1
3485.09,3,28,1,1,3,1,7,1566.99,1,1
2437.32,16,184,0,0,1,1,1,3322.33,0,0
2682.36,13,226,0,0,0,0,2,1673.37,0,0
1869.91,11,1061,1,1,0,1,2,980.13,0,0
6952.55,3,136,1,1,3,4,3,3039.08,0,1
1152.46,22,471,0,0,2,0,3,1876.69,0,0
2919.0,19,5,1,1,5,1,3,2168.31,1,1
5646.81,5,110,0,0,4,3,8,2411.24,1,1
633.74,8,536,0,0,0,0,1,1523.94,0,0
2350.82,0,248,0,1,4,5,10,1999.24,1,1
4015.24,5,246,1,0,4,7,9,2546.15,1,1
5383.99,4,26,0,1,1,2,6,2105.78,1,1
13895.31,0,228,1,1,5,1,7,1814.02,1,1
4738.42,3,139,1,1,2,5,13,1928.05,1,1
1835.26,14,789,0,0,0,1,5,1804.35,0,0
6536.17,0,81,1,1,3,4,7,1607.84,1,1
1622.69,19,858,0,0,0,1,0,1703.08,0,0
1969.7,17,430,0,0,0,2,1,1674.79,0,0
3633.07,5,33,1,1,3,4,10,1790.16,1,1
2013.71,21,1454,0,0,0,1,4,3965.18,0,0
2504.49,13,451,0,0,0,1,1,2680.88,0,0
7116.91,9,67,0,0,5,2,9,1348.77,0,1
2249.49,2,156,1,1,5,2,11,1607.08,1,1
8118.61,1,235,1,1,3,5,14,2965.53,0,1
2430.21,17,151,0,0,0,0,2,2840.65,0,0
14626.5,0,102,1,1,5,4,7,2052.08,1,1
1864.18,12,1042,0,0,0,0,5,1759.75,0,0
1480.52,17,1288,0,0,0,1,2,1746.47,0,0
5573.31,17,1,1,1,4,2,10,1080.35,1,1
4570.06,1,21,1,0,5,5,5,1176.14,1,1
4501.65,5,65,0,1,2,2,12,2302.33,0,1
2118.51,12,426,0,0,0,3,1,2818.06,0,0
11149.9,4,139,1,1,5,2,13,1379.22,1,1
2027.0,11,514,0,0,0,0,6,2171.25,0,0
1749.41,22,335,0,1,0,0,8,2708.7,0,0
6403.44,18,131,0,0,0,0,4,1782.81,0,0
1114.6,14,68,0,0,0,0,0,2078.31,0,0
2719.91,19,459,0,0,0,2,3,2067.67,0,0
2656.58,18,1282,0,0,1,0,3,2351.76,0,0
2353.75,13,1349,0,0,0,2,4,1969.31,0,0
3210.81,11,799,0,0,1,1,1,1256.79,0,0
1258.33,8,1383,0,0,0,1,5,1833.45,0,0
3396.96,11,504,0,0,0,0,3,933.87,0,0
9515.36,5,227,0,1,1,2,8,1564.26,0,1
5524.15,0,179,0,1,4,5,5,1230.58,0,1
1600.12,9,1320,0,0,0,0,3,1790.03,0,0
6193.13,18,53,0,1,5,3,13,2521.8,1,1
1230.99,15,189,0,0,0,3,6,2769.21,0,0
4257.91,2,77,1,1,3,2,7,2546.1,1,1
3509.66,1,179,1,1,4,3,6,1915.68,1,1
3920.25,20,94,0,0,0,0,5,2333.28,0,0
2180.07,11,1137,0,0,0,0,5,3134.65,0,0
7933.4,14,61,1,1,4,3,13,2426.25,1,1
10364.58,6,114,1,1,2,1,8,888.24,1,1
6760.69,1,60,1,0,4,2,9,1825.78,1,1
5545.95,4,74,1,0,3,4,6,2269.89,1,1
6364.42,22,120,1,1,4,2,4,1375.89,1,1
3480.03,22,676,1,0,0,0,4,2218.15,0,0
1190.22,20,199,0,0,0,1,5,1714.21,0,0
1185.1,10,650,0,0,1,0,4,3322.69,0,0
9058.97,5,2,1,1,5,2,9,1134.31,1,1
20645.43,3,215,1,1,5,4,7,2059.48,1,1
8113.33,12,84,1,1,4,5,6,1077.75,1,1
1065.34,19,736,0,0,1,1,2,1339.25,0,0
1832.06,22,586,0,0,0,0,4,2747.94,0,0
2002.83,8,1494,1,0,0,1,4,1164.84,0,0
2037.17,17,1479,0,0,0,0,3,1515.87,0,0
1985.27,21,536,0,0,0,0,2,1464.16,0,0
14003.76,0,112,1,1,4,4,11,2417.13,1,1
2288.48,9,42,0,1,4,1,16,1571.1,1,1
1940.4,14,1453,0,1,0,0,3,4133.18,1,0
4700.07,9,72,0,0,0,0,1,2991.02,0,0
8366.39,5,168,1,1,3,5,14,3195.92,1,1
1318.8,20,995,1,0,0,0,0,1819.96,0,0
2495.02,11,1453,0,0,0,2,5,1355.5,1,0
6245.44,13,187,1,1,4,0,9,1580.25,0,1
2534.05,21,512,0,0,0,0,4,1596.89,0,0
2826.74,11,210,1,1,2,4,11,1090.77,1,1
2421.87,15,329,0,0,0,1,7,1705.09,0,0
1651.24,19,1424,0,0,1,0,2,3037.1,0,0
4231.5,10,357,0,0,1,0,1,1994.98,0,0
8734.17,4,126,1,0,3,3,7,2457.06,1,1
2140.04,12,996,0,1,0,1,5,1974.39,0,0
5755.93,12,1240,0,0,0,0,5,2074.1,0,0
4249.64,8,911,1,0,0,0,3,908.18,0,0
1484.76,18,1193,0,0,0,2,0,925.25,0,0
5188.58,3,35,1,1,5,1,12,1892.97,1,1
7550.81,22,248,1,1,3,2,5,2613.93,1,1
1649.54,15,992,0,0,0,0,3,4309.24,0,0
1252.4,14,1062,1,0,0,1,2,1812.02,0,0
705.98,18,761,0,0,0,0,6,1238.78,0,0
7425.24,5,225,0,1,2,3,8,1886.92,0,1
5419.86,5,34,1,1,4,0,1,3343.43,1,1
8351.17,16,151,1,1,4,1,5,1218.37,1,1
1514.19,21,1376,0,1,0,0,4,1972.46,0,0
6234.49,1,30,1,1,1,3,11,2606.68,1,1
1548.29,16,256,0,0,0,0,2,1964.66,0,0
6815.57,2,43,0,1,4,2,6,1131.51,1,1
3184.16,2,133,0,1,3,4,7,1497.19,1,1
15360.49,4,230,1,1,4,3,10,3382.88,1,1
1521.36,21,1258,0,0,0,0,3,2357.44,0,0
3879.3,10,223,1,1,5,3,14,4547.33,1,1
2154.38,20,1329,0,0,0,3,4,1923.4,0,0
3835.45,9,979,1,0,0,0,0,2571.37,0,0
4421.17,3,122,0,0,5,2,8,2641.02,0,1
2045.72,10,1359,0,0,0,0,1,3334.57,1,0
2002.76,14,1278,0,0,0,0,4,2035.61,0,0
1632.64,9,423,0,0,1,2,1,2321.79,0,0
6251.49,3,143,1,1,4,3,3,586.54,1,1
1263.13,10,1211,0,0,0,1,4,1443.96,0,0
11078.65,5,92,1,1,5,2,6,1881.29,1,1
2960.12,18,629,0,0,0,0,3,1903.65,0,0
2011.03,20,1251,0,0,0,2,5,1858.69,0,0
1826.69,22,1102,0,0,0,0,4,2435.64,0,0
9049.24,21,164,1,1,4,2,4,1641.97,0,1
9759.3,4,95,1,1,5,1,6,2758.54,1,1
2286.46,15,1367,0,0,0,0,3,1741.99,0,0
6628.26,4,206,1,1,1,3,8,736.35,0,1
1494.44,17,1445,0,0,0,0,0,1773.21,0,0
6128.87,5,154,0,0,4,0,10,3405.15,0,1
2535.15,11,138,0,0,0,0,3,1694.66,0,0
2290.39,4,246,1,1,2,1,5,1492.94,0,1
2041.9,10,1487,0,0,0,1,3,1861.17,0,0
4011.4,4,88,1,1,2,3,11,1929.16,0,1
1759.19,12,1080,0,0,0,0,1,1911.29,1,0
1609.48,15,117,0,0,0,0,3,1587.51,0,0
9209.88,3,151,0,1,4,5,5,3132.86,1,1
6369.65,12,121,1,1,4,5,3,1710.06,0,1
1287.79,15,154,0,0,0,0,3,1505.22,0,0
2774.81,8,516,0,0,0,1,4,1925.49,0,0
14218.43,5,6,1,0,3,4,11,1557.59,1,1
3450.8,20,981,0,0,0,0,4,2113.09,0,0
643.24,15,949,0,1,0,0,5,2276.32,0,0
3884.75,18,1080,0,0,0,1,1,2741.0,0,0
12511.66,5,90,1,1,3,6,12,1193.88,0,1
2130.9,11,1470,0,1,1,0,7,1309.9,0,0
13650.27,13,235,0,1,5,3,5,1059.71,1,1
2895.34,2,136,1,0,2,4,9,2029.85,1,1
6620.67,17,103,1,1,4,2,13,1494.16,1,1
1607.59,12,1257,0,0,0,0,0,2716.6,0,0
774.95,12,870,0,0,0,1,2,1204.97,0,0
1330.99,14,936,0,0,0,0,1,1705.26,1,0
6349.31,1,204,1,1,3,0,7,1892.4,1,1
6413.53,0,65,1,0,5,5,4,1463.8,0,1
6448.87,20,458,0,0,0,0,5,2590.86,0,0
4275.65,5,43,1,0,5,9,6,1540.66,0,1
2526.01,11,449,0,1,0,1,2,1855.77,0,0
4562.17,18,1225,0,0,1,0,4,1915.12,0,0
3387.0,11,792,0,0,1,0,1,2595.08,0,0
782.31,22,806,0,0,0,0,0,1492.53,0,0
3023.42,10,1061,0,0,0,2,1,3291.28,0,0
4942.43,3,92,1,1,3,4,4,1619.77,1,1
2425.0,11,1412,0,0,0,0,4,2141.72,0,0
4556.14,22,204,0,0,0,1,1,2043.08,0,0
6771.8,3,17,0,1,3,2,9,1939.45,1,1
8988.56,23,103,1,1,4,1,7,2301.74,1,1
2987.66,8,490,0,0,0,1,1,1902.91,0,0
2992.13,12,497,0,1,1,0,2,3308.35,0,0
2702.24,15,566,0,0,0,2,5,1288.32,0,0
4552.39,6,107,1,1,5,4,6,2544.59,1,1
4021.3,4,229,1,1,3,3,9,1386.67,1,1
5855.49,22,5,0,1,3,3,7,2311.28,1,1
1034.16,13,169,0,0,0,0,6,1285.57,0,0
2673.72,5,91,1,1,4,2,6,3629.82,1,1
5986.79,21,84,0,1,5,4,8,3787.39,1,1
3288.97,3,122,1,1,2,3,6,2107.16,1,1
3748.11,2,54,1,1,5,0,7,1943.46,1,1
2111.0,11,374,0,0,0,0,4,2463.4,0,0
3213.76,8,937,0,0,0,0,3,1084.92,0,0
4514.73,2,182,1,0,5,3,9,2756.01,0,1
2158.34,7,122,1,1,3,1,12,1341.17,1,1
2245.46,15,600,0,0,0,1,3,944.87,0,0
16340.48,11,45,0,1,2,4,8,991.7,1,1
8051.21,10,17,0,1,4,1,10,2309.17,1,1
1341.58,19,77,0,0,2,0,1,1589.93,0,0
6890.24,0,248,1,1,2,7,9,1569.53,0,1
13028.92,2,185,0,1,3,3,4,1880.17,0,1
5436.51,0,182,1,1,3,2,8,1544.29,1,1
2528.57,16,113,0,0,0,0,2,2283.92,0,0
9730.76,1,248,1,1,4,1,6,1196.66,1,1
1441.3,21,1030,0,0,0,0,3,1175.68,0,0
3901.01,15,604,0,0,0,1,2,2387.19,0,0
16956.18,5,31,0,1,4,3,7,918.19,1,1
2187.78,12,714,0,0,0,0,1,1641.15,0,0
8018.96,4,189,1,0,5,2,7,2621.85,1,1
908.21,11,1096,0,0,0,0,1,1975.2,0,0
9028.51,4,3,0,0,3,3,9,2679.22,1,1
4758.71,9,1361,0,0,0,0,2,1372.94,0,0
6583.78,2,167,1,1,3,6,6,1004.77,1,1
13834.9,0,115,1,0,5,3,11,1513.45,1,1
1739.94,16,168,0,0,0,1,3,2300.36,0,0
3292.09,2,135,1,1,2,4,4,1765.0,1,1
4989.29,3,226,0,1,3,4,12,853.85,0,1
10394.24,3,184,0,1,4,5,6,1964.01,1,1
7335.77,4,49,1,0,2,1,5,2316.48,0,1
342.35,13,1257,1,0,0,0,7,2407.23,0,0
5802.16,0,21,1,1,3,1,8,1066.09,1,1
1609.16,17,915,0,1,1,0,2,1014.02,0,0
3905.26,0,242,1,0,5,2,10,2950.98,1,1
7578.01,5,233,1,1,4,4,9,1855.11,1,1
2670.22,1,124,0,1,2,5,7,3040.9,1,1
3493.12,1,192,1,1,4,2,11,2012.52,0,1
3302.21,21,446,1,0,0,0,2,3879.59,0,0
1740.69,4,214,1,0,3,3,14,1243.24,1,1
3102.53,20,637,0,0,0,0,4,1639.19,0,0
4278.66,8,176,1,1,5,4,5,1757.79,1,1
1471.46,13,142,0,0,0,0,2,2209.03,0,0
4006.9,9,93,0,1,5,4,9,1734.84,1,1
7882.24,3,43,1,1,2,4,7,3553.98,1,1
4669.38,0,190,1,0,3,5,5,3062.19,1,1
1310.23,12,275,1,0,0,1,2,1860.07,0,0
8951.4,19,183,1,0,5,0,9,2806.38,1,1
1214.7,12,914,0,0,0,2,4,1708.69,0,0
1177.07,18,219,0,0,0,0,3,1660.26,0,0
1976.5,14,1394,0,0,0,0,1,1191.63,0,0
20460.08,4,141,1,1,1,4,5,1416.1,1,1
3406.62,18,1462,0,0,0,1,6,1376.56,0,0
5815.4,1,113,1,0,5,3,11,1630.22,1,1
1698.35,12,858,0,1,1,1,2,1706.49,0,0
10493.73,4,200,1,1,1,3,12,3212.07,1,1
2293.84,2,241,1,1,4,2,10,1622.17,1,1
3925.17,4,45,0,1,4,3,6,2384.08,1,1
1217.9,16,731,0,0,0,0,6,1694.15,0,0
3129.57,3,67,1,1,3,1,5,3045.5,1,1
12560.99,9,186,0,0,5,2,7,1506.18,0,1
4434.96,2,74,1,1,5,1,11,1792.58,1,1
785.95,11,783,0,0,0,2,3,2003.61,0,0
7766.94,1,15,1,0,4,3,8,2082.59,1,1
1087.58,17,1440,1,0,1,1,2,1967.23,0,0
1506.36,13,731,0,0,1,0,2,1601.59,0,0
877.33,13,1270,0,0,0,0,1,2324.89,0,0
13760.25,17,34,1,1,5,3,10,2031.34,0,1
3892.02,0,4,1,1,3,8,8,3401.15,1,1
13373.44,22,183,1,1,3,2,8,2563.91,1,1
11190.29,23,137,1,1,1,5,10,1594.59,1,1
2906.27,20,1018,0,0,0,1,3,1098.32,0,0
2508.31,8,949,0,0,0,1,2,2394.79,0,0
2329.58,11,757,0,0,0,1,4,1501.72,0,0
2628.54,16,978,0,0,0,0,3,2776.59,0,0
7094.19,0,84,1,1,3,0,6,1569.03,0,1
7680.04,2,132,1,1,5,3,8,1651.89,1,1
929.25,9,76,0,0,0,0,2,3120.94,1,0
4052.07,2,37,1,0,5,5,7,1552.72,0,1
2675.32,21,1310,0,0,1,1,2,2112.51,0,0
3514.6,17,472,0,1,0,0,4,2282.51,0,0
1729.04,12,1305,0,0,0,0,3,2246.39,0,0
906.61,12,730,0,0,1,0,5,1685.1,0,0
4318.57,19,907,0,0,0,0,8,1258.48,0,0
1411.91,22,1216,0,0,1,1,0,2173.99,0,0
5328.53,7,76,1,1,5,4,4,3693.57,1,1
7295.67,15,17,1,1,5,5,15,2123.51,1,1
6143.58,2,185,1,0,3,4,13,1655.46,1,1
9725.5,5,190,1,1,3,4,10,1351.41,1,1
7696.33,0,218,1,0,4,3,10,1508.06,1,1
14117.76,20,30,1,1,2,3,8,1569.52,1,1
1682.71,22,1024,0,0,0,1,3,1330.99,0,0
4513.22,1,100,1,1,1,6,8,1109.92,1,1
1699.09,21,379,0,0,1,3,5,1548.21,0,0
1424.35,18,554,0,1,0,0,3,1182.93,0,0
3418.08,2,35,1,1,2,2,3,1487.38,1,1
1119.5,8,1477,0,0,1,0,2,2493.15,0,0
4218.73,5,106,1,1,5,9,11,1866.84,1,1
11898.81,1,27,1,1,5,5,7,2780.0,0,1
4174.44,21,96,0,1,1,1,4,1459.48,1,1
1339.63,8,770,0,0,0,0,1,1696.39,0,0
4231.73,14,963,0,0,2,0,3,1197.86,1,0
2342.69,21,193,0,0,0,0,4,1138.93,1,0
2805.32,10,213,0,0,0,0,4,3137.45,0,0
5006.29,10,186,1,1,5,2,4,1947.71,1,1
3386.48,4,99,1,1,3,2,8,995.97,1,1
7076.78,3,14,1,1,5,3,6,2209.29,1,1
7015.54,1,147,0,1,1,5,6,2527.02,1,1
1287.8,19,85,0,0,0,1,1,2596.33,0,0
639.95,11,405,0,0,0,0,3,2267.32,0,0
6504.7,17,61,1,1,4,2,7,2058.05,0,1
8203.73,5,124,0,1,3,4,6,1935.36,1,1
1716.62,19,764,0,0,0,1,4,1862.7,0,0
619.86,12,106,0,0,0,0,5,1593.45,0,0
9172.59,12,128,1,1,4,3,8,1158.75,1,1
1550.09,10,513,1,0,1,0,2,2960.47,0,0
11585.49,2,224,1,1,3,3,8,1962.86,1,1
6802.1,3,42,0,1,4,3,7,1196.01,0,1
7142.35,5,27,1,1,2,2,11,1076.1,1,1
3442.75,5,213,1,1,5,0,11,2156.61,1,1
11318.29,13,134,1,0,4,3,10,2360.74,1,1
3504.43,11,198,0,1,1,2,9,2000.93,0,1
4168.19,13,560,0,0,1,0,2,2418.03,0,0
1296.22,20,201,0,1,0,1,6,1403.03,0,0
1416.45,12,852,1,0,1,2,0,812.02,0,0
4697.01,11,608,0,0,0,1,2,4099.12,0,0
11017.95,4,108,0,1,5,5,9,2583.15,1,1
1515.28,20,583,1,0,0,0,7,1783.89,0,0
5245.28,1,48,1,1,5,2,9,1818.58,1,1
1386.05,17,926,0,0,1,1,4,1798.67,0,0
2385.93,1,168,1,1,5,4,11,1554.49,1,1
8541.04,12,48,1,0,4,5,2,1388.13,1,1
10715.34,0,67,1,1,2,1,13,2362.58,0,1
1624.38,21,276,0,0,0,0,4,2815.84,0,0
4192.86,17,820,0,0,1,1,5,1478.97,0,0
646.69,8,688,1,0,0,0,5,1706.82,0,0
1342.36,20,1137,0,0,0,0,4,1028.76,0,0
1863.1,4,30,1,0,3,6,5,2389.81,1,1
3206.36,13,160,0,0,1,0,1,3639.72,0,0
4244.74,0,41,1,1,4,4,8,1957.25,1,1
2539.68,21,997,0,0,2,2,2,2613.06,0,0
12555.9,2,84,1,1,3,5,9,1655.93,1,1
2483.04,14,62,0,0,0,0,0,1909.81,0,0
1423.03,20,1306,0,0,0,0,3,1644.97,0,0
8091.24,1,168,0,1,3,2,5,1469.11,1,1
14286.91,5,34,1,1,5,2,11,1025.64,1,1
7696.63,1,119,1,1,1,2,3,1564.5,0,1
13256.99,0,137,0,1,3,5,5,1690.64,1,1
5565.81,4,116,0,1,4,3,5,1398.16,1,1
3607.16,20,480,1,0,1,1,3,1289.54,0,0
2578.74,15,103,0,0,0,0,1,2242.83,1,0
1969.98,13,916,0,0,0,1,3,3835.67,0,0
2529.22,10,109,0,1,3,3,3,2145.98,1,1
4349.91,3,86,0,1,3,8,11,2477.21,0,1
4085.78,5,178,1,1,1,2,10,1139.89,0,1
1810.25,17,1423,0,0,0,1,1,1413.02,0,0
1375.18,10,905,0,0,0,1,1,1245.76,0,0
6321.37,1,52,1,1,4,5,10,2013.03,1,1
1683.51,21,371,0,0,0,0,5,1781.68,0,0
2661.64,12,682,0,0,0,0,5,1402.11,0,0
11575.32,16,55,1,1,5,4,9,1063.08,1,1
1178.06,18,1173,0,0,1,0,5,1067.71,0,0
10558.34,0,150,1,1,1,1,5,1984.84,0,1
2160.43,21,172,0,0,1,1,4,2988.36,0,0
2576.63,15,1327,0,0,1,1,4,2089.17,0,0
1215.69,11,815,0,0,1,0,3,2947.65,0,0
2314.72,12,545,0,0,0,0,1,1241.24,0,0
930.19,12,735,0,0,0,0,2,1095.93,0,0
2410.42,11,548,0,0,0,1,1,2012.24,0,0
1328.7,20,996,0,0,0,0,7,1792.84,0,0
9110.61,3,105,1,1,5,2,6,1803.6,1,1
5368.73,0,127,1,1,4,4,11,1966.72,0,1
3759.59,16,13,1,1,4,4,7,2460.98,1,1
2727.28,21,6,0,1,5,6,11,2567.83,0,1
1050.26,17,602,0,0,0,1,6,1066.9,1,0
7675.13,18,239,1,1,2,4,6,1946.03,1,1
2269.8,22,846,0,0,0,2,4,1679.1,0,0
7298.65,1,198,0,1,5,1,3,2042.95,0,1
2873.03,19,902,0,0,1,0,3,1827.9,0,0
7628.82,10,108,1,1,4,3,9,1198.39,1,1
1923.79,5,125,1,1,5,6,11,860.1,0,1
1232.76,17,645,0,0,1,2,2,1947.79,0,0
1702.86,16,1098,0,0,0,1,5,1930.38,0,0
2290.67,9,439,1,0,1,0,4,2531.61,0,0
4050.46,18,822,0,0,0,0,4,1603.6,0,0
3098.05,1,41,1,1,3,4,8,1130.85,1,1
2961.23,3,211,1,0,4,3,10,3803.8,0,1
1701.68,12,305,0,0,0,0,3,1119.35,0,0
3291.47,19,837,0,0,0,1,3,1009.92,0,0
4139.2,4,52,1,1,4,4,5,2056.01,1,1
2164.99,10,722,0,0,0,0,4,1279.81,0,0
2397.55,4,224,1,1,3,3,5,1776.59,1,1
1522.74,10,1110,0,0,0,0,4,2534.03,0,0
4620.78,1,128,1,1,4,5,5,1332.9,1,1
1191.4,21,518,0,0,0,2,4,2115.92,0,0
9525.34,0,53,1,1,3,1,10,1646.63,1,1
9739.39,5,34,1,1,5,2,8,2651.25,1,1
2195.79,19,1134,1,0,1,0,2,2620.12,0,0
2062.0,14,67,1,0,0,0,1,2232.08,0,0
1534.02,17,1123,0,0,0,1,3,2133.42,0,0
4993.67,0,138,0,1,3,1,10,707.81,1,1
3538.59,19,1186,0,1,0,2,4,1674.57,0,0
19883.86,4,118,1,0,3,5,8,1981.78,0,1
2792.58,20,1120,0,0,1,1,2,1217.62,0,0
2231.8,8,1377,0,0,2,0,4,1582.04,0,0
1655.43,20,287,0,0,0,0,3,1539.66,0,0
3596.79,11,94,1,0,5,1,8,1511.87,1,1
8603.25,4,86,1,1,2,5,6,2239.08,1,1
2439.86,18,746,0,0,0,0,1,2467.08,0,0
4593.51,0,127,1,1,1,0,8,1240.95,1,1
2884.14,14,205,0,0,0,0,4,2423.74,0,0
3447.3,4,121,0,1,2,5,5,1224.66,1,1
4235.61,0,5,1,0,3,3,10,1557.36,0,1
5649.78,22,179,0,1,2,3,10,2009.98,0,1
7356.68,2,97,0,1,4,3,8,2211.61,0,1
3868.06,17,132,1,1,5,1,4,1262.02,1,1
7541.01,5,23,1,1,5,1,7,1504.35,1,1
1380.65,22,220,0,0,1,0,5,2073.31,0,0
6883.67,21,88,0,1,2,3,13,2143.37,1,1
1746.9,16,1131,0,0,1,1,3,1416.88,0,0
4127.44,5,203,1,1,4,2,2,1130.3,1,1
2520.97,11,1207,0,0,0,0,2,1608.95,0,0
1727.41,20,1106,0,0,0,1,3,1455.8,0,0
3170.27,10,378,0,0,0,0,1,1804.78,0,0
3046.2,22,120,1,1,2,6,4,1567.24,1,1
2981.22,13,327,0,0,0,0,1,2263.52,0,0
965.14,18,493,0,0,0,1,3,1107.1,0,0
1608.56,13,178,0,0,0,0,3,1881.64,0,0
5150.14,1,42,1,1,4,1,6,2312.94,1,1
5977.33,13,20,1,1,2,4,6,3904.23,1,1
1747.79,17,458,0,0,0,1,4,2576.76,1,0
2131.98,10,11,1,1,3,4,8,1688.58,1,1
1844.7,21,1294,0,0,0,0,4,3430.84,0,0
2828.3,2,116,1,1,3,2,8,2445.52,0,1
1851.0,11,523,1,0,0,0,6,1939.83,0,0
2446.41,10,526,0,0,1,3,1,1891.45,0,0
1928.35,15,284,0,0,0,1,3,2585.56,0,0
1373.46,9,1456,0,0,0,0,5,2019.27,0,0
1506.82,12,402,0,0,1,0,2,2151.29,0,0
1949.12,16,1090,0,0,0,1,5,1918.91,0,0
3230.27,13,1275,0,0,0,0,5,946.56,0,0
2535.64,0,132,1,1,1,5,10,1640.54,0,1
3704.37,10,1353,1,0,0,0,5,1582.95,0,0
